id,date,result,elo
HEmOa,13/04/2021,False,1796
KU6kq,13/04/2021,True,1647
xC1Kc,12/04/2021,False,1729
n1ixH,12/04/2021,True,1805
KikCr,10/04/2021,False,1701
bx4ut,10/04/2021,False,1641
iC1i3,10/04/2021,True,1442
F9x4t,10/04/2021,False,1708
CXSOq,10/04/2021,False,1695
SqYje,10/04/2021,True,1744
PP3qR,10/04/2021,False,1698
wbL3h,08/04/2021,True,1745
lXocf,08/04/2021,True,1567
XdGw0,08/04/2021,True,1546
moUti,08/04/2021,True,1641
ygdHU,08/04/2021,False,1642
xb8FK,06/04/2021,False,1621
HopRA,06/04/2021,False,1762
JjiSE,06/04/2021,True,1507
Ugq6f,06/04/2021,True,1752
MadBl,03/04/2021,False,1727
E54nj,03/04/2021,False,1617
OuSY2,02/04/2021,True,1675
LrJWA,02/04/2021,True,1694
mS32w,02/04/2021,True,1596
fx2FC,02/04/2021,True,1565
9y0CZ,02/04/2021,True,1645
QHmmt,02/04/2021,True,1648
gXcTT,02/04/2021,True,1787
qdJcB,02/04/2021,False,1516
NqatW,02/04/2021,True,1774
Hh2TU,02/04/2021,True,1631
ldJnM,02/04/2021,False,1639
ypR8m,02/04/2021,False,1861
0efkg,02/04/2021,False,1571
36O0N,02/04/2021,True,1594
cfOFN,02/04/2021,True,1605
RCerc,01/04/2021,False,1827
xjjoa,01/04/2021,False,1551
HqIF1,01/04/2021,True,1562
MchIZ,01/04/2021,False,1933
xkUfz,01/04/2021,False,1764
pGtKF,01/04/2021,True,1531
W8efM,01/04/2021,True,1517
zl4rA,01/04/2021,False,1677
l6SaV,01/04/2021,True,1281
czeKM,01/04/2021,False,1531
sZ1Bn,01/04/2021,False,1707
Xk7oV,01/04/2021,False,1672
egewD,01/04/2021,False,1648
QC2MQ,01/04/2021,True,1764
moClv,01/04/2021,True,1578
9OdRF,01/04/2021,False,1698
UMbMA,01/04/2021,False,1628
0RsMS,01/04/2021,True,1606
QBCeO,01/04/2021,True,1545
GEX08,31/03/2021,True,1594
izSu7,31/03/2021,True,1567
JXfq9,31/03/2021,True,1666
mwejI,31/03/2021,True,1776
zzuca,31/03/2021,True,1661
wt56i,31/03/2021,False,1652
GQao2,31/03/2021,True,1799
rNG61,31/03/2021,True,1462
hfugO,31/03/2021,False,1604
Hr1Xf,31/03/2021,True,1642
jNs3g,31/03/2021,True,1674
gQzUG,31/03/2021,True,1493
HZwJj,31/03/2021,False,1548
SUeI6,31/03/2021,False,1711
BAEip,31/03/2021,True,1552
9kOzh,31/03/2021,True,1570
crC8Y,31/03/2021,False,1517
TmGNP,31/03/2021,False,1801
DI0Nd,31/03/2021,True,1436
gFTrZ,31/03/2021,False,1609
G2Tfl,31/03/2021,True,1550
He3W0,31/03/2021,True,1549
s74Pz,31/03/2021,False,1370
kKjiF,31/03/2021,False,1705
rhXTF,31/03/2021,True,1532
Ti99O,31/03/2021,False,1626
tVrVd,31/03/2021,False,1671
QMO9g,31/03/2021,True,1714
osV7h,31/03/2021,True,1434
qIGlx,31/03/2021,False,1609
Yf2XX,31/03/2021,True,1394
3K0xk,30/03/2021,True,1544
aVeR2,30/03/2021,False,1605
LegXj,30/03/2021,False,1527
zwBbU,30/03/2021,False,1572
lbh6n,30/03/2021,False,1563
7k8Ei,30/03/2021,True,1744
uP64y,30/03/2021,False,1648
FNROt,30/03/2021,False,2125
uozFF,30/03/2021,False,1672
9gXZo,30/03/2021,False,1685
3Udla,30/03/2021,False,1798
m3Pxt,30/03/2021,False,1648
IIIEo,30/03/2021,True,1744
lqSqa,30/03/2021,True,1639
